Step,Server1,Server2,Server3,Action
1,0,0,0,Server3
2,0,0,0.248615,Server2
3,0,0.192061,0.138615,Server1
4,0.220209,0.082061,0.028615,Server3
5,0.110209,0,0.220414,Server2
6,0.000209,0.232451,0.110414,Server1
7,0.265411,0.122451,0.000414,Server3
8,0.155411,0.012451,0.275895,Server2
9,0.045411,0.250889,0.165895,Server1
10,0.333277,0.140889,0.055895,Server3
11,0.223277,0.030889,0.279997,Server2
12,0.113277,0.312378,0.169997,Server1
13,0.34447,0.202378,0.059997,Server3
14,0.23447,0.092378,0.313266,Server2
15,0.12447,0.374234,0.203266,Server1
16,0.39052,0.264234,0.093266,Server3
17,0.28052,0.154234,0.367229,Server2
18,0.17052,0.433826,0.257229,Server1
19,0.408718,0.323826,0.147229,Server3
20,0.298718,0.213826,0.435194,Server2
21,0.188718,0.452877,0.325194,Server1
22,0.423417,0.342877,0.215194,Server3
23,0.313417,0.232877,0.483471,Server2
24,0.203417,0.449924,0.373471,Server1
25,0.419858,0.339924,0.263471,Server3
26,0.309858,0.229924,0.505814,Server2
27,0.199858,0.448098,0.395814,Server1
28,0.415494,0.338098,0.285814,Server3
29,0.305494,0.228098,0.532616,Server2
30,0.195494,0.474608,0.422616,Server1
31,0.431401,0.364608,0.312616,Server3
32,0.321401,0.254608,0.55287,Server2
33,0.211401,0.520639,0.44287,Server1
34,0.464992,0.410639,0.33287,Server3
35,0.354992,0.300639,0.621568,Server2
36,0.244992,0.553833,0.511568,Server1
37,0.532823,0.443833,0.401568,Server3
38,0.422823,0.333833,0.661132,Server2
39,0.312823,0.564545,0.551132,Server1
40,0.57416,0.454545,0.441132,Server3
41,0.46416,0.344545,0.662697,Server2
42,0.35416,0.537002,0.552697,Server1
43,0.566888,0.427002,0.442697,Server2
44,0.456888,0.685703,0.332697,Server3
45,0.346888,0.575703,0.603534,Server1
46,0.631488,0.465703,0.493534,Server3
47,0.521488,0.355703,0.73422,Server2
48,0.411488,0.627628,0.62422,Server1
49,0.636987,0.517628,0.51422,Server3
50,0.526987,0.407628,0.770236,Server2
51,0.416987,0.634058,0.660236,Server1
52,0.67854,0.524058,0.550236,Server3
53,0.56854,0.414058,0.832464,Server2
54,0.45854,0.623515,0.722463,Server1
55,0.733332,0.513515,0.612463,Server2
56,0.623332,0.725057,0.502464,Server3
57,0.513332,0.615057,0.775771,Server1
58,0.732816,0.505057,0.665771,Server2
59,0.622816,0.740262,0.555771,Server3
60,0.512816,0.630262,0.806406,Server1
61,0.752069,0.520262,0.696406,Server2
62,0.642069,0.75089,0.586406,Server3
63,0.532069,0.64089,0.843126,Server1
64,0.749218,0.53089,0.733126,Server2
65,0.639218,0.773026,0.623126,Server3
66,0.529218,0.663026,0.865826,Server1
67,0.786356,0.553026,0.755826,Server2
68,0.676356,0.825011,0.645826,Server3
69,0.566356,0.715011,0.837551,Server1
70,0.804765,0.605011,0.727551,Server2
71,0.694765,0.853668,0.617551,Server3
72,0.584765,0.743668,0.820567,Server1
73,0.855856,0.633668,0.710567,Server3
74,0.745856,0.523668,0.89,Server1
75,0.89,0.413668,0.78,Server2
76,0.78,0.60558,0.67,Server2
77,0.67,0.80133,0.56,Server3
78,0.56,0.69133,0.836981,Server1
79,0.837985,0.58133,0.726981,Server2
80,0.727985,0.80401,0.616981,Server3
81,0.617985,0.69401,0.847223,Server1
82,0.82506,0.58401,0.737223,Server2
83,0.71506,0.790936,0.627223,Server3
84,0.60506,0.680936,0.89,Server1
85,0.826054,0.570936,0.78,Server2
86,0.716054,0.784859,0.67,Server3
87,0.606054,0.674859,0.89,Server1
88,0.803425,0.564859,0.78,Server2
89,0.693425,0.785211,0.67,Server3
90,0.583425,0.675211,0.89,Server1
91,0.827381,0.565211,0.78,Server2
92,0.717381,0.775378,0.67,Server3
93,0.607381,0.665377,0.89,Server1
94,0.81512,0.555377,0.78,Server2
95,0.70512,0.833637,0.67,Server3
96,0.59512,0.723637,0.89,Server1
97,0.858951,0.613637,0.78,Server2
98,0.748951,0.814333,0.67,Server3
99,0.638951,0.704333,0.883522,Server1
100,0.89,0.594333,0.773522,Server2
